#EPIC,    ra,        dec,      Kp,   list
60017806, 353.61617, -1.58003, 11.5, planet_host
60017809, 352.3881, -3.768842, 11.514, EBs
60017810, 1.15758, 3.55033, 14.53, EBs
60017812, 4.17096, -0.15697, 16.388, EBs
60017814, 356.82644956, -8.08669071, 10.4, EBs
60017815, 355.528771, -3.0996, 12.0, EBs
60017816, 352.914004, -2.701678, 13.0, EBs
60017818, 352.756733, -4.105386, 18.9, EBs
60017821, 355.093408, -7.796992, 13.0, EBs
60017822, 352.8183483, -5.3717122, 11.3, EBs
60017827, 355.653745833, -3.55263444444, 9.37, SC_target
60017828, 353.644583333, -1.32666666667, 13.06, SC_target
60017832, 357.972083333, 0.471666666667, 13.27, SC_target
60017833, 357.669754167, 0.908580555556, 18.2, SC_target
60017836, 354.7114125, -7.68886111111, 13.26, SC_target
60017839, 351.786666667, -4.41, 13.86, SC_target
60017849, 355.893983333, -7.92293416667, 10.17, SC_target
60017850, 352.884216667, -3.37342194444, 9.53, SC_target
60017852, 357.789429167, -1.93612916667, 9.54, SC_target
60017853, 358.8438125, -1.07929944444, 9.72, SC_target
60017854, 355.0216375, 2.86846722222, 9.79, SC_target
60017873, 353.977295833, -6.00814388889, 9.81, SC_target
60017877, 353.233641667, -5.6675925, 10.42, SC_target
60017879, 358.9169, -6.14162166667, 10.17, SC_target
60017880, 353.516295833, 0.181688333333, 10.22, SC_target
60017886, 5.08767, -0.20753, 15.267, variable_simbad
60017887, 352.531675, 1.434328, 10.51, variable_simbad
60017892, 0.02817, -0.78161, 18.879, variable_simbad
60017893, 355.759437, -1.804533, 11.28, variable_simbad
60017898, 353.97454, -4.70394, 15.9, variable_simbad
60017901, 356.57104, -8.26244, 15.4, variable_simbad
60017902, 356.732079, 3.741242, 14.4, variable_simbad
60017908, 358.545096, 2.309953, 11.24, variable_simbad
60017912, 356.17954, -8.65025, 15.797, variable_simbad
60017914, 358.497758, -8.558653, 18.251, variable_simbad
60017924, 358.5455237, 2.3140478, 10.19, variable_simbad
60017929, 0.4, -5.32, 13.61, variable_simbad
60017935, 0.396779, -0.137956, 10.08, variable_simbad
60017939, 358.283875, -8.487925, 16.922, variable_simbad
60017940, 5.85004, -0.49808, 15.76, variable_simbad
60017942, 354.83187, -0.04258, 18.788, multiple_stars
60017946, 357.040958, -0.532353, 17.249, multiple_stars
60017947, 4.36096, -0.41428, 18.973, multiple_stars
60017959, 356.2485, 0.46383, 18.952, multiple_stars
60017968, 352.304362, -0.185061, 19.356, multiple_stars
60017969, 356.424312, 0.439217, 19.151, multiple_stars
60017970, 351.671617, 0.795622, 15.738, multiple_stars
60017971, 358.103217, -0.034714, 18.928, multiple_stars
60017972, 1.175017, -0.336547, 19.125, multiple_stars
60017974, 359.74205, -0.38445, 18.531, multiple_stars
60017979, 4.45521, -0.16539, 17.029, multiple_stars
60017985, 358.86938, 1.00681, 17.54, multiple_stars
60017987, 354.775, -0.29847, 19.345, multiple_stars
60017988, 356.558575, -0.588267, 10.4, multiple_stars
60017993, 352.56025, -3.2287894, 10.45, multiple_stars
60018002, 356.01238, 0.34464, 12.56, multiple_stars
60018004, 358.369379, -8.072083, 10.934, multiple_stars
60018005, 0.467017, 0.112378, 17.927, multiple_stars
60018007, 351.728354, 1.282144, 15.04, multiple_stars
60018008, 357.6170146, 0.4808139, 10.68, multiple_stars
60018014, 356.151292, 0.303467, 19.082, multiple_stars
60018017, 0.987233, -5.059103, 18.139, multiple_stars
60018021, 357.413192, -0.853128, 18.955, multiple_stars
60018026, 0.4203392, -9.1790047, 10.42, multiple_stars
60018029, 358.47554, -0.05206, 18.354, multiple_stars
60018030, 1.903645, 4.3568408, 10.21, multiple_stars
60018031, 0.786213, 0.130258, 18.609, multiple_stars
60018032, 355.43813, -5.97075, 14.5, multiple_stars
60018039, 354.0125, -0.82578, 18.775, multiple_stars
60018040, 356.70812, -0.34222, 17.533, multiple_stars
60018052, 358.33475, 0.27064, 18.331, multiple_stars
60018054, 356.03496, 0.34231, 12.335, multiple_stars
60018055, 359.6009187, 2.2980058, 10.28, multiple_stars
60018057, 1.499483, -5.737803, 17.752, multiple_stars
60018059, 358.365729, -8.077569, 16.15, multiple_stars
60018061, 0.711033, -4.844883, 19.463, multiple_stars
60018066, 354.86825, -0.34444, 19.156, multiple_stars
60018069, 1.680229, -7.537419, 12.16, variable_simbad
60018081, 353.64429, -1.32694, 13.06, variable_simbad
60018082, 358.4567933, -1.2837181, 9.92, variable_simbad
60018084, 5.82768473, -1.55955471, 9.92, variable_simbad
60018091, 0.41104, -3.75647, 11.0, variable_simbad
60018097, 4.890287, -5.072017, 11.12, variable_simbad
60018113, 353.5138895, 0.17941044, 10.141, variable_simbad
60018115, 356.019721, 0.381883, 10.63, variable_simbad
60018117, 352.93721, -2.74433, 13.3, variable_simbad
60018121, 1.52546666667, 3.7519, 12.43, variable_simbad
60018122, 1.68022916667, -6.46258055556, 11.24, variable_simbad
60018139, 4.8902875, -4.92798333333, 11.12, variable_simbad
60018140, 4.96262916667, -4.71588888889, 11.09, variable_simbad
60018142, 5.28706875, -1.64306694444, 9.72, variable_simbad
60018146, 5.82768475, -0.440445277778, 9.92, variable_simbad
60018185, 351.294541667, -2.67966944444, 12.55, variable_simbad
60018190, 352.3881, -2.23115833333, 11.51, variable_simbad
60018196, 352.756733333, -3.89461388889, 19.58, variable_simbad
60018204, 354.025008333, -2.20336944444, 12.77, variable_simbad
60018210, 355.093408333, -6.20300833333, 12.97, variable_simbad
60018214, 356.103883333, -4.22271972222, 9.8, variable_simbad
60018215, 356.163083333, -0.19135, 11.82, variable_simbad
60018216, 356.28395, 0.710113888889, 12.88, variable_simbad
60018219, 356.826449542, -7.91330930556, 10.41, variable_simbad
60018220, 357.074925, 0.906997222222, 17.98, variable_simbad
