#EPIC,           ra,            dec,             Kp,    list,           comment
60017836,   354.7114125,   -7.68886111111,  13.26, compact_pulsator,    GD1212
60017833,   357.669754167,  0.908580555556, 18.20, compact_pulsator,    WDJ2350-0054
60017806,   353.61617,     -01.58003,       11.50, planet_host,         WASP-28
60017827,   355.653745833, -3.55263444444,   9.37, solar_like,          HIP 116967
60017828,   353.644583333, -1.32666666667,  13.06, compact_pulsator,    PB5450
60017832,   357.972083333,  0.471666666667, 13.27, compact_pulsator,    PG2349+002
60017839,   351.786666667, -4.41,           13.86, compact_pulsator,    PHL 529
60017939,   358.283875,    -8.487925,       16.92, cool_star,           2MASSI J2353081-082916
60017849,   355.893983333, -7.92293416667,  10.17, solar_like,          HIP 117041
60017850,   352.884216667, -3.37342194444,   9.53, solar_like,          HIP 116107
60017852,   357.789429167, -1.93612916667,   9.54, solar_like,          HIP 117612
60017853,   358.8438125,   -1.07929944444,   9.72, solar_like,          HIP 117937
60017854,   355.0216375,    2.86846722222,   9.79, solar_like,          HIP 116786
60017873,   353.977295833, -6.00814388889,   9.81, solar_like,          HIP 116462
60017877,   353.233641667, -5.6675925,      10.42, solar_like,          HIP 116227
60017879,   358.9169,      -6.14162166667,  10.17, solar_like,          HIP 117966
60017880,   353.516295833,  0.181688333333, 10.22, solar_like,          HIP 116317
